user_id,name,review_count,yelping_since,useful,funny,cool,fans,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
qVc8ODYU5SZjKXVBgXdI7w,Walker,585,2007-01-25 16:47:26,7217,1259,5994,267,3.91,250,65,55,56,18,232,844,467,467,239,180
j14WgRoU_-2ZE1aw1dXrJg,Daniel,4333,2009-01-25 04:35:42,43091,13066,27281,3138,3.74,1145,264,184,157,251,1847,7054,3131,3131,1521,1946
2WnXYQFK0hXEoTxPtV2zvg,Steph,665,2008-07-25 10:41:00,2086,1010,1003,52,3.32,89,13,10,17,3,66,96,119,119,35,18
SZDeASXq7o05mMNLshsdIA,Gwen,224,2005-11-29 04:38:33,512,330,299,28,4.27,24,4,1,6,2,12,16,26,26,10,9
hA5lMy-EnncsH4JoR-hFGQ,Karen,79,2007-01-05 19:40:59,29,15,7,1,3.54,1,1,0,0,0,1,1,0,0,0,0
q_QQ5kBBwlCcbL1s4NVK3g,Jane,1221,2005-03-14 20:26:35,14953,9940,11211,1357,3.85,1713,163,191,361,147,1212,5696,2543,2543,815,323
cxuxXkcihfCbqt5Byrup8Q,Rob,12,2009-02-24 03:09:06,6,1,0,1,2.75,0,0,0,0,0,0,1,0,0,0,0
E9kcWJdJUHuTKfQurPljwA,Mike,358,2008-12-11 22:11:56,399,102,143,23,3.73,4,7,2,0,0,8,6,12,12,5,0
lO1iq-f75hnPNZkTy3Zerg,Rachelle,40,2008-12-29 22:40:56,109,40,46,7,4.04,2,0,0,3,0,3,4,5,5,3,1
AUi8MPWJ0mLkMfwbui27lg,John,109,2010-01-07 18:32:04,154,20,23,4,3.4,0,0,0,0,0,1,6,3,3,0,0
iYzhPPqnrjJkg1JHZyMhzA,Chris,4,2010-11-03 18:59:20,1,0,1,1,4.0,0,0,0,0,0,0,0,0,0,0,0
xoZvMJPDW6Q9pDAXI0e_Ww,Ryan,535,2009-05-27 06:12:10,1130,487,573,31,3.89,23,9,1,3,5,31,41,36,36,24,7
vVukUtqoLF5BvH_VtQFNoA,Charlene,37,2011-01-29 17:18:59,63,3,27,4,4.51,4,0,0,0,0,1,5,0,0,1,0
_crIokUeTCHVK_JVOy-0qQ,Kenny,11,2009-10-07 17:23:44,30,3,0,0,3.08,0,0,0,0,0,0,0,0,0,0,0
1McG5Rn_UDkmlkZOrsdptg,Teresa,7,2009-05-26 16:11:11,18,3,13,1,4.29,1,0,0,0,0,1,0,2,2,0,0
SgiBkhXeqIKl1PlFpZOycQ,Eugene,682,2006-08-25 16:47:25,1819,1138,1297,44,3.75,212,17,17,22,34,67,158,221,221,45,17
fJZO_skqpnhk1kvomI4dmA,Jennifer,25,2008-07-14 16:01:36,29,2,19,1,4.15,0,1,0,0,0,6,2,2,2,1,0
x7YtLnBW2dUnrrpwaofVQQ,Ronskee,37,2010-05-06 00:40:56,56,29,29,9,3.84,15,1,0,0,0,12,33,66,66,1,12
